杏仁,麦蘖,神僸,萝卜子,三棱,干漆
莱菔,白芥子,山楂
半夏,天南星,金箔,朱砂,全蝎,白僵蚕
银箔,远志,升麻,金箔,铁粉,白僵蚕
半夏,干姜,丁香,诃子,草豆蔻,生姜
贝母,半夏,天南星,当归,海藻,桔梗
半夏,桔梗,陈皮,葛根,木香,苏叶
天南星,蜈蚣,猪牙皂角,直僵蚕,麝香
半夏,薤白,麦芽,陈皮,全瓜蒌,苏梗
贝母,莱菔,杏仁,葶苈,枣仁,陈皮
杏仁,葶苈,黑牵牛,防己,麻黄
胆南星,海石,苍术,抚芎,栝楼,青黛
莱菔,杏仁,夏枯草,连翘,僵蛹,大力子
贝母,海藻,蓖麻子肉,蜣螂虫,磁石,没药
半夏,天南星,白芥子,红芽大戟,僵蚕,朴消
贝母,当归,地黄,杏仁,蒲黄,款冬花
文蛤,红芽大戟,朱砂,山茨菇,千金子,麝香
半夏,白术,天麻,老生姜,茯苓,甘草
百部,远志,当归,桔梗,地黄,杜仲
天南星
鸡血藤,地龙,蜈蚣,当归,赤芍,羌活
瓜瓣,苇茎,薏仁,桃仁
半夏,竹茹,陈皮,茯苓,枳壳,甘草
半夏,竹茹,陈皮,枳实,生姜,甘草
半夏,桂心,远志,黄芩,茯苓,麦门冬
半夏,干姜,白术,陈皮
半夏,芍药,当归,干姜,二十,桔梗
半夏,芍药,干姜,桔梗,陈皮,苍术
藕汁,梨汁10毫升,生姜汁,牛乳60毫升,韭汁
半夏,白术,木香,陈皮2,茯苓,砂仁
半夏,党参,白术,西砂仁,炒广皮,木香
半夏,皮硝,栝楼,生川军,小川连,小枳实
贝母,半夏,天南星,当归,柴胡,白术
半夏,天南星,黄柏,滑石,苍术,辛夷
贝母,杏仁,桔梗,麦冬,柏仁,淡竹叶
生姜汁2滴,青连翘,犀角汁20毫升,生赤芍,淡竹沥60毫升,丹皮
半夏,麦芽,藿香,陈皮,苍术,山植
蝉壳,白僵蚕,陈皮,羌活,人参,茯苓
半夏,杏仁,桔梗,陈皮,干葛,苏叶
白芥子,海藻,昆布,桔梗,山茨菇,夏枯草
半夏,海藻,昆布,通草,松萝,麦曲
贝母,半夏,当归,海藻,柴胡,昆布
海藻,昆布,夏枯草,炒山甲,生地,三棱
海藻,昆布,海带,螵蛸,石燕,海红蛤
海藻,海带,桔梗,螵蛸,海昆布,木香
半夏,皂角,生山甲,生马钱子,血竭,甘草
贝母,元参,牡蛎
贝母,三棱,没药,牡蛎,生黄耆,莪术
海石,杏仁,桔梗,皮硝,连翘,栝楼
半夏,白芥子,柴胡,陈皮,瓜蒌,茯苓
海藻,元参,糯米,红娘子,牡蛎,甘草
半夏,桔梗,僵蚕,元参,陈皮,栝楼
半夏,茯苓,甘草
半夏,黑附子,陈皮,菖蒲,枣仁,茯神
半夏,杏仁,桔梗,陈皮,枣仁,苏叶
半夏,桂心,杏仁,紫菀,白术,陈皮
杏仁,桃仁,人参,桑白皮
杏仁,萝卜子
百部,远志,杏仁,桔梗,陈皮流浸膏,甘草
旋复花,僵蚕,石膏,防风
半夏,旋复花,枣仁,代赭石,人参,生姜
半夏,缩砂仁,草果仁,陈皮,丁香,白豆蔻
半夏,茱萸,干姜,槟榔,桔梗,琥珀
竹茹,姜汁3茶匙,陈皮,柿蒂
半夏,栝楼,黄连
半夏,胆南星,真珠,朱砂,脑,茯苓
贝母,半夏,天南星,地黄,桔梗,西河柳
贝母,天南星,槟榔,滑石,白芥子,藿香
天竺黄,天南星,滑石,桔梗,木香,朱砂
贝母,连翘,没药,炒二丑,银花,丹参
