半夏,昆布,桔梗,粉葛,天南星片,莪术
檀香,苏合香,朱砂,诃子,僵蚕,萎仁
檀香,苏合香,朱砂,诃子,僵蚕,金礞石
杏仁,神僸,麦蘖,萝卜子,青皮,三棱
莱菔,白芥子,山楂
半夏,天南星,朱砂,金箔,白僵蚕,全蝎
银箔,远志,金箔,白附子,白僵蚕,铁粉
半夏,诃子,丁香,草豆蔻,干姜,生姜
贝母,天南星,半夏,海藻,桔梗,陈皮
半夏,桔梗,陈皮,前胡,茯苓,葛根
天南星,蜈蚣,直僵蚕,麝香,猪牙皂角
半夏,麦芽,陈皮,薤白,苏梗,全瓜蒌
贝母,莱菔,杏仁,苏子,葶苈,陈皮
杏仁,葶苈,黑牵牛,防己,麻黄
胆南星,海石,抚芎,栝楼,香附,青黛
莱菔,杏仁,大力子,僵蛹,薄荷,夏枯草
贝母,海藻,猫头骨牙爪1副,蓖麻子肉,蜣螂虫,生明矾
半夏,天南星,白芥子,红芽大戟,僵蚕,制甘遂
贝母,款冬花,杏仁,桔梗,薄荷,麦门冬
朱砂,红芽大戟,文蛤,山茨菇,千金子,麝香
半夏,老生姜,天麻,茯苓,白术,甘草
百部,远志,桔梗,菖蒲,麦门冬,黑参
天南星
蜈蚣,鸡血藤,地龙,赤芍,川芎,白芷
半夏,竹茹,陈皮,茯苓,甘草,枳壳
半夏,竹茹,陈皮,枳实,生姜,甘草
半夏,远志,麦门冬,桂心,黄芩,茯苓
半夏,陈皮,白术,干姜
半夏,桔梗,陈皮,二十,芍药,十
半夏,桔梗,陈皮,芍药,白芷,肉桂
半夏,陈皮2,砂仁,茯苓,白术,人参
半夏,党参,炒广皮,西砂仁,茯苓,白术
半夏,栝楼,小枳实,生川军,小川连,皮硝
贝母,半夏,天南星,柴胡,牡蛎,山慈姑
半夏,天南星,辛夷,牡蛎,黄芩,川芎
贝母,杏仁,桔梗,麦冬,淡竹叶,灯心100厘米
半夏,麦芽,陈皮,香附,山植,藿香
半夏,杏仁,桔梗,陈皮,前胡,干葛
昆布,海藻,白芥子,山茨菇,桔梗,元参
半夏,昆布,海藻,海蛤粉,通草,麦曲
贝母,半夏,昆布,海藻,香附,元参
昆布,海藻,炒山甲,莪术,夏枯草,牡蛎
昆布,海藻,海带,海红蛤,海马,石燕
海藻,海带,桔梗,海昆布,猪琰子,香附
半夏,生马钱子,生山甲,皂角,血竭,甘草
贝母,元参,牡蛎
贝母,乳香,牡蛎,莪术,血竭,没药
海石,杏仁,栝楼,桔梗,连翘,皮硝
半夏,白芥子,陈皮,香附,柴胡,莪术
海藻,糯米,红娘子,元参,牡蛎,甘草
半夏,桔梗,陈皮,栝楼,僵蚕,元参
半夏,茯苓,甘草
半夏,陈皮,菖蒲,黑附子,神曲,枣仁
半夏,杏仁,桔梗,陈皮,前胡,茯苓
半夏,紫菀,杏仁,陈皮,诃子,桂心
杏仁,百部,远志,桔梗,陈皮流浸膏,甘草
半夏,代赭石,旋复花,枣仁,人参,生姜
半夏,缩砂仁,陈皮,丁香,草果仁,白豆蔻
半夏,桔梗,陈皮,菖蒲,琥珀,枳实
竹茹,陈皮,姜汁3茶匙,柿蒂
半夏,栝楼,黄连
半夏,胆南星,真珠,朱砂,脑,茯苓
贝母,天南星,半夏,朱砂,钩藤,水牛角浓缩粉
贝母,天南星,白芥子,麦芽,朱砂,钩藤
