贝母,半夏,陈皮,当归,柴胡,白芍
贝母,半夏,天南星,陈皮,香附,栝楼
百部,穿心莲,玉竹,葎草,黄精,白及
半夏,半夏,桔梗,陈皮,紫苏,藿香
杏仁,陈皮,薄荷,桂枝,麻黄,茯苓
杏仁,葶苈,百合,石膏,天冬,大黄
半夏,醋2500毫升
款冬花,钟乳粉,川姜,白术,甘草,人参
杏仁,款冬花,麻黄,甘草
陈皮,川朴,榔片,灵脂,玄胡,生芍
半夏,桔梗,桂,枳壳
半夏,天南星,枳实,葶苈,黑牵牛,白矾
半夏,大腹子,京三棱,木香,青皮
生龙脑,朱砂,生犀角,石膏,麦门冬,茯苓
生龙脑,朱砂,生犀角,石膏,麦门冬,茯苓
鸡苏叶,桔梗,紫苏,龙脑,黍粘子,瓜蒌根
半夏,天南星,白矾,草龙脑
半夏,附片,白术,白芍,牡蛎,茯苓
杏仁,白芥子,瓜蒌皮,蛤壳,紫苏,石膏
杏仁,白芥子,瓜蒌皮,紫苏,蛤壳,石膏
杏仁,白芥子,紫苏,蛤壳,石膏,桅子
青礞石,硼砂,万年干,石膏
桔梗,淡条芩,上广皮,京元参,细川连,香附
紫菀,杏仁,款冬花,桔梗,紫苏,五味子
粳米,新鲜萝卜约
贝母,莱菔,冰糖,白糖,豆腐皮,白果仁
莱菔,粳米
莱菔
贝母,款冬花,鹅管石,肉桂,甘草
杏仁,葶苈,桔梗,陈皮,马兜铃,茯苓
半夏,党参,陈皮,桔梗,黄芩,前胡
半夏,白术,苏子,茯苓,干姜,人参
半夏,白术,茯苓,干姜,人参,甘草
贝母,萝卜,麦冬,鲜姜,秋梨,鲜藕
半夏,香附,草乌,茴香,茯苓,细辛
莱菔,陈皮,桔梗,麦芽,果仁,制野军
贝母,桔梗,薄荷,牛蒡,石膏,元参
半夏,胆南星,紫菀,杏仁,款冬花,川椒
半夏,杏仁,陈皮,茯苓,甘草
半夏,陈皮,白术,茯苓,人参,甘草
半夏,款冬花,杏仁,黄芩,苏子,麻黄
半夏,清炙草,钩藤钩,广红皮,明天麻,荆芥
贝母,杏仁,陈皮,牛蒡,石膏,麻黄
半夏,杏仁,豆腐1小块,麻黄,甘草
半夏,莱菔,杏仁,白芥子,陈皮,茶叶
半夏,杏仁,马兜铃,巴豆
陈皮,远志,罗参,粉草,当归,莲肉
贝母,天竺黄,胆南星,桔梗,钩藤,陈皮
半夏,桔梗,陈皮,大力子,当归,重楼
梅花脑,寒水石,牙硝,硼砂,五,麝香
梅花脑,寒水石,硼砂,牙消,麝香,甘草
贝母,麦冬,枇杷叶,莲子,天冬,枣仁
粳米,冰糖,枇杷叶
粳米,冰糖,枇杷叶
半夏,莱菔,香附,陈皮,麦芽,枳实
半夏,天南星,枳实,黄芩,法制消,礞石
半夏,竹茹,旋复花,胆草,黄芩,黄连
贝母,半夏,杏仁,陈皮,桔梗,瓜蒌仁
贝母,半夏,紫菀,杏仁,桔梗,百合
紫菀,百部,白芥子,东白薇,牛蒡,苏子
贝母,陈皮,桔梗,瓜蒌仁,麦门冬,黄芩
半夏,香附,陈皮,神曲,川芎,茯苓
半夏,香附,陈皮,神曲,白芍,川芎
贝母,海石,胆南星,陈皮,木通
半夏,乌梅,良姜,草果,青皮,甘草
杏仁,葶苈,牛蒡,石膏,地龙,丹参
贝母,桔梗,花粉,黄芩,前胡,黄柏
贝母,天竺黄,紫菀,杏仁,鱼腥草,陈皮
贝母,杏仁,鱼腥草,桔梗,败酱草,白术
昆布,海粉,牙皂,当归,白芍,芦荟
贝母,海藻,僵蚕,当归,柴胡,连翘
半夏,白芥子,桔梗,枳实,柴胡,当归
檀香,薄荷,石膏,荆芥,细辛,甘草
檀香,四,薄荷,一了,二,石膏
檀香,薄荷,石膏,荆芥,细辛,甘草
半夏,香附,瓜蒌仁,黄芩,苍术,黄连
贝母,半夏,天南星,白芥子,陈皮,玄明粉
半夏,天南星,杏仁,陈皮,枳实,黄芩
半夏,天南星,莱菔,海粉,陈皮,香附
半夏,天南星,杏仁,陈皮,枳实,瓜蒌仁
贝母,贝母,紫菀,杏仁,蛤壳,北沙参
半夏,石膏,五味子,麻黄,细辛,射干
贝母,半夏,杏仁,桔梗,瓜蒌仁,枳实
半夏,昆布,海藻,白芥子,陈皮,香附
贝母,杵头糠,郁金,荷叶蒂,砂仁壳,丹参
