海藻,昆布,海带,海蛤粉,木香,陈皮,螵蛸
半夏,肉豆蔻,厚朴,山药
半夏,黄连,吴萸,陈皮,桃仁
半夏,草果,白术,乌梅肉,陈皮,生姜,人参
半夏,茯苓,紫苏,厚朴
半夏,升麻,昆布,桔梗,龙胆草,天南星片,连翘
檀香,藿香,朱砂,僵蚕,降香,丁香,苏合香
檀香,藿香,朱砂,僵蚕,降香,丁香,苏合香
杏仁,神僸,干漆,萝卜子,麦蘖,青皮,三棱
莱菔,白芥子,山楂
半夏,天南星,枯矾,朱砂,金箔,白僵蚕,全蝎
远志,银箔,升麻,金箔,白僵蚕,铁粉,白附子
半夏,干姜,丁香,诃子,草豆蔻,生姜
贝母,半夏,天南星,当归,海藻,黄芩,桔梗
半夏,葛根,桔梗,陈皮,苏叶,前胡,枳壳
天南星,猪牙皂角,蜈蚣,直僵蚕,麝香
半夏,生姜,薤白,麦芽,陈皮,枳壳,厚朴
