胆南星,陈皮,僵蚕,全蝎,香附,钩蘑,天麻
贝母,海藻,元参,皂刺,香附,漏芦,柴胡
半夏,黄芩,桂枝,白芍,干姜,细辛,甘草
半夏,天南星,桔梗,陈皮,枳实,辰砂,栝楼
贝母,半夏,陈皮,柴胡,黄芩,白芍,当归
贝母,半夏,天南星,陈皮,枳实,芍药,香附
百部,穿心莲,玉竹,葎草,黄精,白及
半夏,半夏,桔梗,陈皮,藿香,紫苏,人参
杏仁,陈皮,薄荷,桂枝,苏叶,茯苓,桑白皮
杏仁,葶苈,石膏,天冬,百合,桑白皮,枳壳
半夏,醋2500毫升
款冬花,钟乳粉,川姜,人参,白术,甘草
款冬花,杏仁,甘草,麻黄
陈皮,川朴,生芍,榔片,香附,灵脂,巴豆
半夏,桔梗,桂,枳壳
半夏,天南星,葶苈,枳实,黑牵牛,白矾,或加旋复花
半夏,大腹子,京三棱,青皮,木香
生龙脑,朱砂,生犀角,麦门冬,石膏,人参,茯苓
生龙脑,朱砂,生犀角,麦门冬,石膏,人参,茯苓
鸡苏叶,桔梗,龙脑,黍粘子,紫苏,瓜蒌根,甘草
半夏,天南星,草龙脑,白矾
半夏,附片,白芍,牡蛎,白术,茯苓,生姜
杏仁,白芥子,瓜蒌皮,蛤壳,紫苏,龙延香,石膏
杏仁,白芥子,瓜蒌皮,蛤壳,紫苏,回克,石膏
杏仁,白芥子,蛤壳,紫苏,瓜萎皮,桅子,丹参
硼砂,青礞石,万年干,石膏
桔梗,淡条芩,细川连,京元参,上广皮,香附,甘草
紫菀,款冬花,杏仁,桔梗,五味子,紫苏,桑白皮
粳米,新鲜萝卜约
贝母,莱菔,冰糖,白糖,白果仁,豆腐皮
莱菔,粳米
莱菔
贝母,款冬花,鹅管石,肉桂,甘草
缩砂仁,巴豆,丁香,乌梅,胡椒
杏仁,葶苈,陈皮,桔梗,马兜铃,茯苓
半夏,党参,桔梗,陈皮,黄芩,前胡,苏叶
半夏,苏子,人参,干姜,茯苓,白术,甘草
半夏,人参,干姜,茯苓,白术,甘草
贝母,麦冬,萝卜,鲜藕,鲜姜,秋梨
半夏,香附,草乌,茴香,茯苓,细辛
莱菔,桔梗,陈皮,麦芽,果仁,制野军,神曲
贝母,桔梗,薄荷,元参,石膏,黄连,荆芥
半夏,紫菀,款冬花,胆南星,杏仁,生白矾,生乌
半夏,杏仁,陈皮,茯苓,甘草
半夏,陈皮,人参,茯苓,白术,甘草
半夏,款冬花,杏仁,苏子,黄芩,桑白皮,甘草
半夏,茯神,明天麻,广红皮,清炙草,钩藤钩,菊花
贝母,杏仁,陈皮,石膏,甘草,麻黄,牛蒡
半夏,杏仁,豆腐1小块,甘草,麻黄
半夏,莱菔,白芥子,杏仁,陈皮,诃子,苏子
半夏,杏仁,巴豆,马兜铃
远志,陈皮,罗参,粉草,莲肉,茯神,当归
贝母,天竺黄,胆南星,桔梗,陈皮,薄荷,钩藤
半夏,桔梗,大力子,陈皮,重楼,皂刺,当归
梅花脑,硼砂,牙硝,五,寒水石,麝香,甘草
梅花脑,硼砂,牙消,寒水石,麝香,甘草
贝母,枇杷叶,麦冬,莲子,天冬,生地,玄参
冰糖,粳米,枇杷叶
冰糖,粳米,枇杷叶
半夏,莱菔,麦芽,陈皮,枳实,香附,神曲
半夏,天南星,枳实,黄芩,法制消,礞石
远志,丹参,丹参,麦冬,菖蒲,茯神,黄芩
半夏,竹茹,胆草,旋复花,黄芩,黄连,枳壳
贝母,半夏,杏仁,桔梗,陈皮,瓜蒌仁,石膏
贝母,半夏,紫菀,杏仁,桔梗,防己,百合
紫菀,百部,白芥子,苏子,剖麦冬,东白薇,甘草
贝母,桔梗,陈皮,瓜蒌仁,麦门冬,黄芩,茯苓
半夏,陈皮,香附,神曲,干姜,茯苓,苍术
半夏,陈皮,香附,神曲,白芍,茯苓,苍术
贝母,胆南星,海石,陈皮,木通
半夏,良姜,乌梅,草果,青皮,甘草,厚朴
杏仁,葶苈,丹参,地龙,石膏,羚羊角,麻黄
贝母,桔梗,黄芩,前胡,黄柏,苦参,知母
贝母,天竺黄,紫菀,杏仁,鱼腥草,陈皮,元参
贝母,杏仁,鱼腥草,桔梗,败酱草,黄芩,薏仁
昆布,海粉,牙皂,白芍,当归,芦荟,青皮
贝母,海藻,僵蚕,柴胡,当归,夏枯草,昆布海带
半夏,白芥子,桔梗,枳实,苏子,蝉衣,柴胡
檀香,薄荷,石膏,人参,细辛,羌活,荆芥
檀香,四,二,一了,薄荷,石膏,人参
檀香,薄荷,石膏,人参,细辛,羌活,荆芥
半夏,瓜蒌仁,香附,黄芩,苍术,黄连
贝母,半夏,天南星,白芥子,陈皮,枳实,玄明粉
半夏,天南星,杏仁,陈皮,枳实,黄芩,瓜蒌仁霜
半夏,天南星,莱菔,海粉,瓜蒌仁,麦芽,陈皮
半夏,天南星,杏仁,陈皮,枳实,瓜蒌仁,黄芩
贝母,贝母,紫菀,杏仁,蛤壳,白花蛇舌草,夏枯草
半夏,五味子,石膏,射干,细辛,甘草,麻黄
贝母,半夏,杏仁,桔梗,瓜蒌仁,枳实,五味子
