白术,熟地,白芥子,薏仁,芡实
天麻,天南星,地龙,白附子,石膏
黄芪,白术,茯苓,陈皮,草决明
白芷,贝母
紫菀茸,阿胶,蒲黄,百合,款冬花
紫菀,木通,大黄,桔梗,白茅根
紫菀,款冬花,贝母
紫苏,麻黄,杏仁,青皮,五味子
白术,紫苏,人参,陈皮,桂
葶苈,葶苈,始蚧,潞州人参,木香
竹黄,白酒
茯苓,竹茹,陈皮,生姜,半夏
天南星,苍术,白术,陈皮,白芥子
阿胶,糯米,紫菀茸,款冬花,杏仁
蛤粉,皂角
天南星,天麻,滑石,巴霜,白附子
白附子,白僵蚕,黄松节,水瓜,羌活
钩藤,牛膝,生地,竹茹,白术
紫菀,陈皮,百部,白前,桔梗
葶苈,莱菔,胆南星,杏仁,苏子
紫苏,麦冬,天冬,玄参,陈皮
紫菀,地黄,麦冬,款冬花,紫苏
白术,天南星,皂角,香附,陈皮
枳壳,黄芩,桔梗,半夏,甘草
寒水石,朱砂,梅花脑,脑子,牙硝
丹参,贝母,海藻,昆布,当归
水牛角浓缩粉,檀香,油松节,黄芪,地黄
