杏仁,淡竹叶,贝母,沙参,麦冬
生地,丹皮,淡竹沥60毫升,青连翘,生姜汁2滴
半夏,藿香,苍术,甘草,黄连
蝉壳,厚朴,川芎,陈皮,羌活
杏仁,茯苓,干葛,苏叶,半夏
花粉,夏枯草,海藻,元参,白芥子
半夏,海藻,昆布,龙胆草,枯白矾
当归,贝母,半夏,夏枯草,柴胡
海藻,炒山甲,夏枯草,生地,三棱
海带,海藻,海马,螵蛸,昆布
海带,海藻,木香,海昆布,猪琰子
半夏,血竭,甘草,生山甲,生马钱子
贝母,牡蛎,元参
贝母,没药,血竭,三棱,龙胆草
海石,杏仁,连翘,栝楼,皮硝
白芍,半夏,柴胡,茯苓,白芥子
海藻,甘草,糯米,元参,红娘子
半夏,僵蚕,大黄,连翘,茯苓
半夏,茯苓,甘草
五味子,山楂,麦芽
黑附子,半夏,枣仁,甘草,神曲
半夏,生姜,杏仁,枣仁,茯苓
桂心,半夏,紫菀,杏仁,大腹皮
杏仁,桑白皮,人参,桃仁
百部,甘草,远志,陈皮流浸膏,杏仁
僵蚕,防风,旋复花,石膏
代赭石,旋复花,半夏,枣仁,生姜
半夏,草果仁,陈皮,神曲,丁香
半夏,干姜,玄胡索,沉香,茱萸
竹茹,柿蒂,陈皮,姜汁3茶匙
半夏,黄连,栝楼
半夏,胆南星,真珠,麝,朱砂
地黄,天南星,贝母,钩藤,半夏
藿香,钩藤,天南星,贝母,滑石
天南星,天竺黄,木香,苍术,滑石
贝母,连翘,没药,大黄,黄连
杏仁,甘草,胆南星,槟榔,贝母
天竺黄,半夏,黄连,胆南星,麝香
木香,天竺黄,沉香,大黄,天南星
牵牛,甘草,槟榔,陈皮
藿香,天竺黄,黄连,佩兰,半夏
木香,僵蚕,新鲜大力子根,梗,赤芍
乳没,黑附子,川芎,甘草,熟地
莱菔,木香,半夏,苍术,当归
半夏,芫花,天南星,莪术
香梗芋艿,不拘多少
白及,百部,贝母,甘草,羊胆干膏
地骨皮,贝母,五味子,阿胶,薏仁
淡竹叶,当归,胆南星,黄连,远志
白芍,钩藤,玉竹,远志,竹茹
天南星,防风
半夏,寒水石,白矾,三
百部,紫菀,甘草,葶苈,杏仁
天南星,苍术,半夏,当归,牙皂
天南星,地黄,半夏,辰砂,僵蚕
天南星,半夏,白矾,朱砂,全蝎
天竺黄,大黄,金箔,人参,黄连
缩砂,盐,生姜,陈皮,白豆蔻
天南星,没药,全蝎,草乌,乳香
全蝎,白僵蚕,石膏,甘草,川芎
天南星,没药,全蝎,草乌,乳香
天南星,没药,全蝎,草乌,僵蚕
半夏,白术,黄芪,甘草,代赭石
贝母,白芷
蒲黄,款冬花,半夏,贝母,甘草
紫菀,木通,大黄,甘草,白茅根
款冬花,贝母,紫菀
五味子,杏仁,麻黄,青皮,紫苏
半夏,桂,白术,甘草,紫苏
木香,葶苈,葶苈,始蚧,潞州人参
白酒,竹黄
半夏,生姜,茯苓,竹茹,陈皮
木香,天南星,当归,半夏,苍术
款冬花,百部,秦艽,杏仁,糯米
蛤粉,皂角
天南星,腻粉,滑石,全蝎,芜荑
胆南星,白僵蚕,半夏,秦艽,防风
竹茹,半夏,牛膝,钩藤,夏枯草
白前,百部,紫菀,荆芥,甘草
莱菔,白前,胆南星,杏仁,黄芩
百部,木香,款冬花,大黄,半夏
款冬花,地黄,紫菀,半夏,杏仁
半夏,天南星,萝卜子,杏仁,生姜
半夏,黄芩,甘草,枳壳,桔梗
梅花脑,脑子,甘草,寒水石,麝香
当归,贝母,蜣螂虫,沙参,海藻
天竺黄,檀香,全蝎,当归,没药
