白术,白芍,当归,厚朴,槟榔
神曲,陈皮,白术,厚朴,人参
山药,桂圆肉,大热地,当归,麦冬
山药,川椒,糯米,芡实,莲子肉
柴胡,茯苓,露蜂房,仙灵脾,白花蛇舌草
扁豆,黄连,桔梗,神曲,麦芽面
茯神,扁豆,白芍,檀香,人参
白术3巴豆,沉香,半夏,白豆蔻,乌梅
白术,猪苓,茯苓
椒,粳米,葱,豆豉,雄猪肚
半夏,厚朴,白术,生姜,甘草
枳实,白术
枳实,白术
枳实,白术,蓬莪茂,半夏,茯苓
芍药,益智仁,白术,防风,苍术
枇杷叶,白术,沉香,木香,草豆蔻
干姜,于术,当归,没药,牛膝
于术,当归,5条,30克,30克
白术,乳香,当归,没药,厚朴
干姜,大麦芽,神曲,草豆蔻,陈皮
干姜,白术,黄连,黄芩,猪苓
扁豆,人参,山药,老米,燕窝
小麦芽,干姜,神曲,苍术,茯苓
雄黄,槐皮,苦楝皮
