半夏,生姜,竹茹,甘草,陈皮
半夏,干姜,陈皮,白术
半夏,芍药,二十,肉桂,十
芍药,半夏,桔梗,肉桂,苍术
梨汁10毫升,韭汁,牛乳60毫升,藕汁,生姜汁
半夏,砂仁,木香,陈皮2,茯苓
半夏,木香,炒广皮,党参,西砂仁
半夏,栝楼,皮硝,小川连,小枳实
半夏,天南星,贝母,柴胡,牡蛎
天南星,黄柏,半夏,滑石,黄芩
贝母,杏仁,淡竹叶,麦冬,沙参
丹皮,桃仁,生地,犀角汁20毫升,生赤芍
半夏,藿香,麦芽,苍术,香附
白僵蚕,蝉壳,陈皮,厚朴,茯苓
半夏,干葛,桑白皮,杏仁,桔梗
元参,海藻,昆布,白芥子,桔梗
半夏,通草,昆布,松萝,海藻
贝母,半夏,元参,柴胡,昆布
昆布,海藻,莪术,炒山甲,夏枯草
螵蛸,昆布,石燕,海藻,海马
木香,海藻,桔梗,螵蛸,海蛤
半夏,甘草,皂角,血竭,生马钱子
贝母,元参,牡蛎
贝母,没药,莪术,牡蛎,三棱
杏仁,栝楼,桔梗,连翘,皮硝
半夏,莪术,白芥子,陈皮,柴胡
海藻,元参,牡蛎,红娘子,甘草
半夏,栝楼,元参,连翘,山栀
半夏,甘草,茯苓
五味子,麦芽,山楂
枣仁,半夏,菖蒲,茯神,黑附子
枣仁,半夏,杏仁,苏叶,桔梗
杏仁,桑白皮,人参,桃仁
杏仁,萝卜子
远志,杏仁,桔梗,甘草,百部
旋复花,防风,僵蚕,石膏
枣仁,半夏,旋复花,生姜,代赭石
丁香,半夏,缩砂仁,神曲,白豆蔻
半夏,琥珀,茱萸,巴霜,桔梗
柿蒂,竹茹,姜汁3茶匙,陈皮
半夏,栝楼,黄连
半夏,朱砂,麝,真珠,脑
钩藤,地黄,贝母,天南星,半夏
琥珀,贝母,天南星,藿香,钩藤
天南星,砂仁,钩藤,滑石,木香
贝母,赤芍,雄黄,连翘,银花
贝母,杏仁,元参,麦冬,胆南星
贝母,半夏,天竺黄,黄连,菖蒲
天南星,钩藤,木香,贝母,半夏
甘草,牵牛,陈皮,槟榔
藿香,半夏,天竺黄,竹茹,菖蒲
甘草,麻黄,乳没,白芥子,熟地
半夏,莱菔,抚芎,香附,神曲
天南星,芫花,半夏,莪术
香梗芋艿,不拘多少
贝母,羊胆干膏,白及,百部,甘草
贝母,天冬,五味子,地骨皮,薏仁
枣仁,甘草,远志,胆南星,地黄
竹茹,菖蒲,钩藤,麦冬,甘草
天南星,防风
半夏,寒水石,白矾,三
贝母,半夏,百部,紫菀,杏仁
防己,天南星,巴裁,牙皂,半夏
天南星,枣仁,半夏,川独活,天麻
天南星,朱砂,雄黄,半夏,全蝎
炒白牵牛子,琥珀,天竺黄,金箔,大黄
红豆,丁香,缩砂,盐,陈皮
天南星,荆芥,天麻,全蝎,草乌
白僵蚕,荆芥,全蝎,防风,川芎
天南星,荆芥,天麻,全蝎,草乌
天南星,天麻,荆芥,草乌,全蝎
半夏,代赭石,草决明,黄芪,茯苓
贝母,白芷
贝母,蒲黄,半夏,杏仁,紫菀茸
紫菀,桔梗,朴消,甘草,大黄
贝母,紫菀,款冬花
